Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description	Keywords
https://www.philadelphiafed.org/	200	ok	text/html	39432	Federal Reserve Bank of Philadelphia		0	81	1330			00:00.125	utf-8		
https://www.philadelphiafed.org/-/media/project/frbp/frbp-portal/settings/favicon-196x196.png	200	ok	image/png	7479		01.10.2020  21:39:09	1		1331			00:00.094	utf-8		
https://www.philadelphiafed.org/-/media/project/frbp/frbp-portal/settings/favicon-128x128.png	200	ok	image/png	5525		01.10.2020  21:39:35	1		1331			00:00.454	utf-8		
https://www.philadelphiafed.org/-/media/project/frbp/frbp-portal/settings/favicon-96x96.png	200	ok	image/png	3482		01.10.2020  21:39:45	1		1331			00:00.203	utf-8		
https://www.philadelphiafed.org/-/media/project/frbp/frbp-portal/settings/favicon-32x32.png	200	ok	image/png	1041		01.10.2020  21:39:56	1		1331			00:00.281	utf-8		
https://www.philadelphiafed.org/-/media/project/frbp/frbp-portal/settings/favicon-16x16.png	200	ok	image/png	474		01.10.2020  21:40:09	1		1331			00:00.375	utf-8		
https://www.philadelphiafed.org/assets/js/init.js	200	ok	application/x-javascript	1250		31.05.2023  20:48:42	1		1331			00:00.614	utf-8		
https://www.philadelphiafed.org/layouts/system/VisitorIdentification.js	200	ok	application/x-javascript	910		21.06.2019  09:08:14	1		1330			00:00.551	utf-8		
https://www.googletagmanager.com/ns.html?id=GTM-KS5HGCQ	200	ok	text/html				1		1331	Google Tag Manager		00:00.125	utf-8		
https://www.philadelphiafed.org/pages/home/page.css	200	ok	text/css	64124		31.05.2023  20:48:42	1	88	1			00:01.107			
https://www.philadelphiafed.org/about-us	200	ok	text/html	25120	About Us		1	60	1330			00:01.310	utf-8		
https://www.philadelphiafed.org/our-people	200	ok	text/html	26440	Our People		1	70	1330			00:01.278	utf-8		
https://www.philadelphiafed.org/education	200	ok	text/html	25167	Education		1	58	1330			00:01.435	utf-8		
https://www.philadelphiafed.org/banking	200	ok	text/html	24054	Banking		1	62	1330			00:01.466	utf-8		
https://www.philadelphiafed.org/careers	200	ok	text/html	22059	Careers		1	57	1330			00:01.997	utf-8		
https://www.philadelphiafed.org/calendar-of-events	200	ok	text/html	126396	Calendar of Events		1	64	1330			00:01.747	utf-8		speech, blackout, data release, upcoming speeches
https://www.philadelphiafed.org/the-economy	200	ok	text/html	41376	The Economy		1	94	1330			00:02.013	utf-8		
https://www.philadelphiafed.org/the-economy/monetary-policy	200	ok	text/html	41592	Monetary Policy		1	86	1330			00:03.773	utf-8		
https://www.philadelphiafed.org/the-economy/banking-and-financial-markets	200	ok	text/html	44681	Banking and Financial Markets		1	81	1330			00:03.491	utf-8		
https://www.philadelphiafed.org/the-economy/macroeconomics	200	ok	text/html	46772	Macroeconomics		1	93	1330			00:03.649	utf-8		
https://www.philadelphiafed.org/the-economy/regional-economics	200	ok	text/html	46370	Regional Economics		1	93	1330			00:03.837	utf-8		
https://www.philadelphiafed.org/consumer-finance	200	ok	text/html	49593	Consumer Finance		1	109	1330			00:04.196	utf-8		
https://www.philadelphiafed.org/consumer-finance/payment-systems	200	ok	text/html	46236	Payment Systems		1	80	1330			00:04.290	utf-8		
https://www.philadelphiafed.org/consumer-finance/consumer-credit	200	ok	text/html	47500	Consumer Credit		1	90	1330			00:04.681	utf-8		
https://www.philadelphiafed.org/consumer-finance/education-finance	200	ok	text/html	44583	Education Finance		1	80	1330			00:04.634	utf-8		
